1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
35113,2014,1,3,0,4,184,198,189,220,-9,50,1018,0,NW,7.15,0,0
35114,2014,1,3,1,4,122,142,126,146,-9,47,1018,1,cv,0.45,0,0
35115,2014,1,3,2,4,32,33,44,34,-9,50,1019,0,NW,4.02,0,0
35116,2014,1,3,3,4,28,23,27,34,-9,47,1019,1,cv,0.89,0,0
35117,2014,1,3,4,4,28,19,32,35,-9,58,1020,-2,NW,3.13,0,0
35118,2014,1,3,5,4,33,23,37,45,-9,54,1020,-1,NW,7.15,0,0
35119,2014,1,3,6,4,32,27,39,43,-13,36,1020,0,cv,0.89,0,0
35120,2014,1,3,7,4,30,20,38,43,-13,39,1022,-1,NW,3.13,0,0
35121,2014,1,3,8,4,26,21,26,36,-12,42,1023,-1,NW,7.15,0,0
35122,2014,1,3,9,4,25,18,26,36,-13,27,1024,4,NW,11.17,0,0
35123,2014,1,3,10,4,27,NA,24,23,-16,17,1025,7,NW,14.3,0,0
35124,2014,1,3,11,4,28,NA,26,25,-16,16,1024,8,NW,17.43,0,0
35125,2014,1,3,12,4,21,13,23,29,-16,16,1023,8,NW,20.56,0,0
35126,2014,1,3,13,4,16,18,17,26,-17,14,1022,9,NW,22.35,0,0
35127,2014,1,3,14,4,15,12,13,21,-18,12,1022,9,NE,1.79,0,0
35128,2014,1,3,15,4,13,15,15,25,-17,15,1022,8,NE,3.58,0,0
35129,2014,1,3,16,4,18,24,28,31,-17,16,1022,7,SE,1.79,0,0
35130,2014,1,3,17,4,32,31,35,43,-17,18,1023,5,SE,3.58,0,0
35131,2014,1,3,18,4,36,36,39,46,-17,21,1023,3,cv,0.45,0,0
35132,2014,1,3,19,4,57,40,38,50,-17,21,1024,3,cv,1.34,0,0
35133,2014,1,3,20,4,57,40,38,68,-16,26,1024,1,cv,2.23,0,0
35134,2014,1,3,21,4,NA,NA,NA,60,-13,39,1024,-1,cv,2.68,0,0
35135,2014,1,3,22,4,94,80,91,103,-11,46,1025,-1,SE,1.79,0,0
35136,2014,1,3,23,4,77,74,75,85,-8,58,1025,-1,SE,4.92,0,0
35137,2014,1,4,0,4,77,79,85,86,-6,68,1026,-1,SE,6.71,0,0
35138,2014,1,4,1,4,76,77,71,89,-6,74,1025,-2,SE,8.5,0,0
35139,2014,1,4,2,4,69,75,72,77,-7,68,1025,-2,cv,0.89,0,0
35140,2014,1,4,3,4,66,68,70,77,-7,68,1025,-2,SE,1.79,0,0
35141,2014,1,4,4,4,65,66,65,75,-9,73,1025,-5,cv,0.45,0,0
35142,2014,1,4,5,4,74,85,63,80,-9,73,1025,-5,cv,1.34,0,0
35143,2014,1,4,6,4,82,82,71,86,-9,79,1025,-6,cv,1.79,0,0
35144,2014,1,4,7,4,78,92,84,95,-7,79,1025,-4,SE,0.89,0,0
35145,2014,1,4,8,4,91,102,96,101,-7,73,1025,-3,cv,0.89,0,0
35146,2014,1,4,9,4,119,130,109,132,-6,74,1025,-2,SE,0.89,0,0
35147,2014,1,4,10,4,125,134,135,153,-6,68,1025,-1,SE,1.78,0,0
35148,2014,1,4,11,4,130,140,150,173,-5,74,1024,-1,SE,3.57,0,0
35149,2014,1,4,12,4,147,147,163,178,-6,63,1023,0,NE,1.79,0,0
35150,2014,1,4,13,4,170,145,169,176,-7,55,1021,1,cv,0.89,0,0
35151,2014,1,4,14,4,178,169,180,209,-7,51,1020,2,SE,1.79,0,0
35152,2014,1,4,15,4,192,177,193,219,-7,51,1020,2,cv,0.89,0,0
35153,2014,1,4,16,4,199,177,192,224,-7,51,1020,2,NW,1.79,0,0
35154,2014,1,4,17,4,196,177,199,212,-7,55,1020,1,NW,3.58,0,0
35155,2014,1,4,18,4,194,178,183,221,-8,63,1020,-2,NW,6.71,0,0
35156,2014,1,4,19,4,206,206,193,221,-8,68,1021,-3,NW,8.5,0,0
35157,2014,1,4,20,4,183,279,209,217,-8,73,1021,-4,NW,10.29,0,0
35158,2014,1,4,21,4,160,273,266,203,-8,73,1021,-4,cv,0.89,0,0
35159,2014,1,4,22,4,172,254,191,221,-8,73,1021,-4,cv,1.78,0,0
35160,2014,1,4,23,4,165,184,177,192,-9,73,1021,-5,NW,1.79,0,0
35161,2014,1,5,0,4,152,164,178,183,-8,73,1021,-4,NW,3.58,0,0
35162,2014,1,5,1,4,151,238,170,175,-10,73,1022,-6,NW,6.71,0,0
35163,2014,1,5,2,4,150,256,247,177,-8,79,1022,-5,NW,10.73,0,0
35164,2014,1,5,3,4,155,192,219,183,-9,79,1022,-6,NW,14.75,0,0
35165,2014,1,5,4,4,152,147,160,155,-10,79,1023,-7,NW,17.88,0,0
35166,2014,1,5,5,4,131,127,137,151,-10,79,1023,-7,NW,22.8,0,0
35167,2014,1,5,6,4,107,122,125,137,-9,79,1023,-6,NW,26.82,0,0
35168,2014,1,5,7,4,90,120,88,109,-10,79,1024,-7,NW,29.95,0,0
35169,2014,1,5,8,4,89,117,87,140,-8,73,1024,-4,NW,34.87,0,0
35170,2014,1,5,9,4,110,98,91,117,-8,63,1025,-2,NW,39.79,0,0
35171,2014,1,5,10,4,133,112,112,128,-8,50,1026,1,NW,42.92,0,0
35172,2014,1,5,11,4,66,59,66,54,-12,27,1026,5,NW,46.05,0,0
35173,2014,1,5,12,4,33,28,30,34,-14,23,1025,5,NE,3.13,0,0
35174,2014,1,5,13,4,29,25,31,32,-14,23,1024,5,NE,6.26,0,0
35175,2014,1,5,14,4,28,25,29,28,-15,20,1024,6,NE,9.39,0,0
35176,2014,1,5,15,4,29,27,23,29,-15,20,1024,6,NE,12.52,0,0
35177,2014,1,5,16,4,30,32,29,37,-15,20,1024,6,SE,3.13,0,0
35178,2014,1,5,17,4,30,44,33,46,-15,25,1024,3,SE,4.92,0,0
35179,2014,1,5,18,4,35,67,30,54,-15,29,1025,1,SE,6.71,0,0
35180,2014,1,5,19,4,45,62,41,53,-12,42,1025,-1,cv,0.89,0,0
35181,2014,1,5,20,4,44,51,41,47,-12,46,1026,-2,cv,1.78,0,0
35182,2014,1,5,21,4,105,94,97,112,-12,39,1026,0,SE,4.02,0,0
35183,2014,1,5,22,4,121,102,111,125,-9,54,1027,-1,SE,7.15,0,0
35184,2014,1,5,23,4,122,107,119,128,-8,63,1028,-2,SE,8.94,0,0
35185,2014,1,6,0,4,132,113,118,126,-7,73,1028,-3,cv,0.89,0,0
35186,2014,1,6,1,4,143,125,134,153,-5,79,1028,-2,cv,1.78,0,0
35187,2014,1,6,2,4,126,130,142,157,-5,74,1028,-1,cv,2.67,0,0
35188,2014,1,6,3,4,134,119,130,144,-5,74,1028,-1,cv,3.12,0,0
35189,2014,1,6,4,4,118,116,130,138,-5,74,1027,-1,SE,0.89,0,0
35190,2014,1,6,5,4,105,118,124,128,-5,74,1027,-1,cv,0.89,0,0
35191,2014,1,6,6,4,104,120,109,126,-5,74,1027,-1,SE,1.79,0,0
35192,2014,1,6,7,4,107,128,117,126,-5,74,1027,-1,SE,3.58,0,0
35193,2014,1,6,8,4,108,147,142,159,-5,74,1027,-1,SE,5.37,0,0
35194,2014,1,6,9,4,108,150,142,149,-6,68,1028,-1,SE,8.5,0,0
35195,2014,1,6,10,4,120,142,111,123,-5,74,1028,-1,SE,11.63,0,0
35196,2014,1,6,11,4,135,134,125,150,-4,74,1027,0,SE,15.65,0,0
35197,2014,1,6,12,4,119,130,140,146,-4,74,1026,0,SE,18.78,0,0
35198,2014,1,6,13,4,138,138,131,145,-5,69,1025,0,SE,22.8,0,0
35199,2014,1,6,14,4,140,137,147,160,-5,69,1024,0,SE,25.93,0,0
35200,2014,1,6,15,4,138,133,131,148,-5,69,1024,0,SE,27.72,0,0
35201,2014,1,6,16,4,137,137,138,156,-5,69,1024,0,SE,29.51,0,0
35202,2014,1,6,17,4,144,143,144,158,-5,69,1024,0,SE,30.4,0,0
35203,2014,1,6,18,4,152,141,148,167,-7,68,1024,-2,SE,31.29,0,0
35204,2014,1,6,19,4,162,140,152,171,-6,74,1024,-2,NE,0.89,0,0
35205,2014,1,6,20,4,176,155,156,177,-5,74,1025,-1,SE,0.89,0,0
35206,2014,1,6,21,4,173,157,165,185,-6,68,1025,-1,SE,1.78,0,0
35207,2014,1,6,22,4,170,164,176,201,-6,68,1025,-1,NE,0.89,0,0
35208,2014,1,6,23,4,176,169,168,217,-6,68,1024,-1,cv,0.89,0,0
35209,2014,1,7,0,4,185,224,175,208,-6,68,1024,-1,cv,1.34,0,0
35210,2014,1,7,1,4,184,213,185,204,-6,74,1024,-2,NE,0.89,0,0
35211,2014,1,7,2,4,174,210,179,213,-7,79,1024,-4,cv,0.89,0,0
35212,2014,1,7,3,4,190,214,217,256,-7,79,1025,-4,NW,0.89,0,0
35213,2014,1,7,4,4,188,182,203,211,-6,79,1025,-3,NW,2.68,0,0
35214,2014,1,7,5,4,172,170,191,203,-6,79,1024,-3,NW,5.81,0,0
35215,2014,1,7,6,4,177,192,186,212,-8,79,1024,-5,NW,8.94,0,0
35216,2014,1,7,7,4,181,184,185,205,-7,85,1025,-5,NW,12.07,0,0
35217,2014,1,7,8,4,163,164,175,196,-6,79,1026,-3,NW,16.09,0,0
35218,2014,1,7,9,4,147,160,168,182,-7,63,1027,-1,NW,20.11,0,0
35219,2014,1,7,10,4,117,134,121,124,-8,50,1028,1,NW,24.13,0,0
35220,2014,1,7,11,4,58,75,90,102,-11,34,1027,3,NE,4.02,0,0
35221,2014,1,7,12,4,31,60,75,77,-14,27,1027,3,NE,8.94,0,0
35222,2014,1,7,13,4,44,3,47,48,-14,23,1026,5,NE,12.96,0,0
35223,2014,1,7,14,4,46,15,32,38,-16,20,1026,5,NE,16.98,0,0
35224,2014,1,7,15,4,39,3,31,31,-16,20,1026,5,NW,3.13,0,0
35225,2014,1,7,16,4,32,3,24,27,-16,20,1027,5,NE,1.79,0,0
35226,2014,1,7,17,4,30,18,29,33,-16,21,1028,4,NW,1.79,0,0
35227,2014,1,7,18,4,32,24,35,35,-16,21,1028,4,NW,4.92,0,0
35228,2014,1,7,19,4,37,19,31,29,-16,30,1029,-1,NW,8.94,0,0
35229,2014,1,7,20,4,26,23,29,24,-19,24,1030,-1,NW,12.07,0,0
35230,2014,1,7,21,4,24,18,16,26,-20,20,1031,0,NW,16.09,0,0
35231,2014,1,7,22,4,19,16,10,11,-25,13,1032,0,NW,20.11,0,0
35232,2014,1,7,23,4,18,11,11,14,-21,25,1032,-4,NW,24.13,0,0
35233,2014,1,8,0,4,15,7,13,12,-22,21,1032,-3,NW,28.15,0,0
35234,2014,1,8,1,4,15,13,6,9,-21,25,1033,-4,NW,31.28,0,0
35235,2014,1,8,2,4,14,13,11,11,-21,25,1033,-4,NW,34.41,0,0
35236,2014,1,8,3,4,15,13,12,15,-20,27,1033,-4,NW,39.33,0,0
35237,2014,1,8,4,4,14,13,3,13,-20,29,1034,-5,NW,43.35,0,0
35238,2014,1,8,5,4,12,12,16,15,-20,29,1034,-5,NE,1.79,0,0
35239,2014,1,8,6,4,20,15,9,17,-21,29,1034,-6,NW,1.79,0,0
35240,2014,1,8,7,4,19,17,10,19,-20,32,1034,-6,NW,6.71,0,0
35241,2014,1,8,8,4,17,13,13,18,-20,29,1035,-5,NE,4.02,0,0
35242,2014,1,8,9,4,14,21,14,21,-21,27,1036,-5,NW,3.13,0,0
35243,2014,1,8,10,4,15,18,16,17,-20,23,1036,-2,NW,7.15,0,0
35244,2014,1,8,11,4,21,14,16,22,-21,20,1035,-1,cv,1.79,0,0
35245,2014,1,8,12,4,19,16,22,23,-28,10,1034,0,NW,8.94,0,0
35246,2014,1,8,13,4,19,12,19,16,-27,10,1033,1,NW,16.09,0,0
35247,2014,1,8,14,4,22,13,9,22,-25,13,1032,0,NW,21.9,0,0
35248,2014,1,8,15,4,21,11,3,18,-26,12,1032,0,NW,27.71,0,0
35249,2014,1,8,16,4,24,14,9,17,-25,13,1032,0,NW,33.52,0,0
35250,2014,1,8,17,4,16,17,20,21,-26,12,1033,-1,NW,39.33,0,0
35251,2014,1,8,18,4,21,17,14,23,-26,13,1033,-2,NW,44.25,0,0
35252,2014,1,8,19,4,18,17,18,22,-25,15,1033,-2,NW,49.17,0,0
35253,2014,1,8,20,4,18,15,14,21,-25,19,1034,-5,NW,54.09,0,0
35254,2014,1,8,21,4,17,20,19,23,-25,22,1034,-7,NW,58.11,0,0
35255,2014,1,8,22,4,16,50,31,53,-23,28,1034,-8,NW,59.9,0,0
35256,2014,1,8,23,4,18,61,58,66,-24,24,1034,-7,SE,1.79,0,0
35257,2014,1,9,0,4,24,51,40,52,-23,33,1034,-10,cv,0.89,0,0
35258,2014,1,9,1,4,16,27,25,30,-23,33,1033,-10,NW,1.79,0,0
35259,2014,1,9,2,4,11,12,16,10,-23,31,1033,-9,NW,3.58,0,0
35260,2014,1,9,3,4,3,9,13,10,-23,36,1033,-11,NW,6.71,0,0
35261,2014,1,9,4,4,4,9,9,13,-23,28,1033,-8,NW,9.84,0,0
35262,2014,1,9,5,4,5,9,8,11,-26,18,1033,-6,NW,14.76,0,0
35263,2014,1,9,6,4,7,13,8,14,-25,22,1033,-7,NW,18.78,0,0
35264,2014,1,9,7,4,11,14,15,20,-25,26,1033,-9,NW,20.57,0,0
35265,2014,1,9,8,4,16,14,15,22,-24,28,1034,-9,NW,23.7,0,0
35266,2014,1,9,9,4,13,12,20,23,-25,17,1035,-4,NW,27.72,0,0
35267,2014,1,9,10,4,19,14,19,20,-26,15,1035,-3,NW,31.74,0,0
35268,2014,1,9,11,4,17,15,12,17,-28,11,1034,-2,NW,37.55,0,0
35269,2014,1,9,12,4,4,6,7,14,-28,10,1032,0,NW,42.47,0,0
35270,2014,1,9,13,4,10,5,11,10,-32,6,1031,0,NW,48.28,0,0
35271,2014,1,9,14,4,10,3,8,10,-33,5,1029,1,NW,54.09,0,0
35272,2014,1,9,15,4,30,15,21,27,-35,4,1029,1,NW,61.24,0,0
35273,2014,1,9,16,4,42,32,36,44,-34,5,1029,1,NW,67.05,0,0
35274,2014,1,9,17,4,47,40,45,53,-26,12,1029,0,SE,4.92,0,0
35275,2014,1,9,18,4,49,44,50,59,-24,15,1029,-1,SE,8.05,0,0
35276,2014,1,9,19,4,58,45,48,56,-23,18,1030,-2,SE,9.84,0,0
35277,2014,1,9,20,4,58,42,52,58,-22,19,1030,-2,SE,12.97,0,0
35278,2014,1,9,21,4,61,48,53,66,-23,18,1030,-2,SE,14.76,0,0
35279,2014,1,9,22,4,71,57,63,73,-24,22,1031,-6,cv,0.89,0,0
35280,2014,1,9,23,4,79,68,75,83,-21,34,1031,-8,NE,0.89,0,0
35281,2014,1,10,0,4,78,70,73,81,-20,40,1031,-9,cv,0.89,0,0
35282,2014,1,10,1,4,65,61,63,91,-20,40,1031,-9,cv,1.78,0,0
35283,2014,1,10,2,4,62,98,87,104,-22,43,1031,-12,NW,1.79,0,0
35284,2014,1,10,3,4,65,86,89,88,-22,39,1031,-11,NW,3.58,0,0
35285,2014,1,10,4,4,NA,NA,NA,85,-22,43,1031,-12,NW,5.37,0,0
35286,2014,1,10,5,4,NA,NA,NA,66,-23,42,1031,-13,NW,7.16,0,0
35287,2014,1,10,6,4,41,NA,75,47,-22,46,1031,-13,NW,10.29,0,0
35288,2014,1,10,7,4,NA,NA,NA,70,-23,42,1031,-13,NW,13.42,0,0
35289,2014,1,10,8,4,27,NA,49,61,-22,39,1031,-11,cv,0.89,0,0
35290,2014,1,10,9,4,30,40,48,47,-21,34,1032,-8,NW,1.79,0,0
35291,2014,1,10,10,4,34,60,45,61,-22,24,1032,-5,cv,0.89,0,0
35292,2014,1,10,11,4,3,52,58,69,-23,18,1032,-2,cv,1.78,0,0
35293,2014,1,10,12,4,36,56,60,66,-25,13,1031,0,cv,2.67,0,0
35294,2014,1,10,13,4,50,48,51,63,-27,8,1030,3,NW,1.79,0,0
35295,2014,1,10,14,4,46,39,50,43,-28,8,1029,3,NW,3.58,0,0
35296,2014,1,10,15,4,58,40,42,48,-27,8,1029,4,SE,1.79,0,0
35297,2014,1,10,16,4,68,52,62,67,-29,6,1029,5,NW,4.92,0,0
35298,2014,1,10,17,4,103,66,81,87,-26,10,1029,2,SE,4.02,0,0
35299,2014,1,10,18,4,133,93,111,127,-26,11,1030,1,SE,8.04,0,0
35300,2014,1,10,19,4,141,100,117,126,-25,12,1030,1,SE,12.06,0,0
35301,2014,1,10,20,4,139,98,111,126,-20,25,1031,-3,cv,0.89,0,0
35302,2014,1,10,21,4,121,93,111,106,-24,13,1031,1,cv,1.78,0,0
35303,2014,1,10,22,4,121,94,103,104,-19,32,1032,-5,SE,1.79,0,0
35304,2014,1,10,23,4,106,103,101,118,-20,37,1032,-8,SE,2.68,0,0
35305,2014,1,11,0,4,99,149,97,141,-19,44,1032,-9,NE,0.89,0,0
35306,2014,1,11,1,4,91,177,107,199,-19,44,1032,-9,NE,1.78,0,0
35307,2014,1,11,2,4,130,239,225,262,-19,44,1032,-9,NW,1.79,0,0
35308,2014,1,11,3,4,190,232,233,234,-19,47,1032,-10,NW,2.68,0,0
35309,2014,1,11,4,4,170,195,188,221,-21,40,1032,-10,NW,4.47,0,0
35310,2014,1,11,5,4,173,188,178,177,-19,51,1032,-11,cv,0.89,0,0
35311,2014,1,11,6,4,145,167,166,135,-20,51,1031,-12,NW,0.89,0,0
35312,2014,1,11,7,4,99,142,118,108,-20,47,1031,-11,NW,4.02,0,0
35313,2014,1,11,8,4,71,98,83,97,-20,47,1032,-11,NE,1.79,0,0
35314,2014,1,11,9,4,54,76,76,87,-18,41,1032,-7,cv,0.89,0,0
35315,2014,1,11,10,4,62,72,73,85,-20,25,1032,-3,NW,1.79,0,0
35316,2014,1,11,11,4,62,75,70,81,-21,20,1031,-1,NW,3.58,0,0
35317,2014,1,11,12,4,68,75,79,82,-25,12,1030,1,NW,5.37,0,0
35318,2014,1,11,13,4,78,74,90,81,-25,10,1029,3,cv,1.79,0,0
35319,2014,1,11,14,4,108,87,113,111,-25,9,1028,5,NW,1.79,0,0
35320,2014,1,11,15,4,167,108,144,143,-27,7,1027,5,cv,1.79,0,0
35321,2014,1,11,16,4,179,118,148,153,-25,9,1027,4,SE,4.02,0,0
35322,2014,1,11,17,4,187,150,169,189,-22,14,1027,2,SE,7.15,0,0
35323,2014,1,11,18,4,254,186,219,244,-21,16,1028,2,SE,11.17,0,0
35324,2014,1,11,19,4,242,219,248,273,-19,19,1029,2,SE,14.3,0,0
35325,2014,1,11,20,4,218,217,225,218,-18,32,1029,-4,NW,0.89,0,0
35326,2014,1,11,21,4,186,223,220,227,-19,32,1030,-5,NW,2.68,0,0
35327,2014,1,11,22,4,98,131,164,95,-19,24,1031,-1,NW,6.7,0,0
35328,2014,1,11,23,4,23,14,32,20,-19,25,1032,-2,cv,0.89,0,0
35329,2014,1,12,0,4,23,10,14,NA,-22,16,1032,1,NW,8.94,0,0
35330,2014,1,12,1,4,NA,10,13,NA,-21,20,1033,-1,NW,16.09,0,0
35331,2014,1,12,2,4,NA,9,13,NA,-24,15,1034,-1,NW,24.14,0,0
35332,2014,1,12,3,4,17,4,13,NA,-22,21,1035,-3,NW,29.95,0,0
35333,2014,1,12,4,4,13,9,7,NA,-23,24,1035,-6,NW,33.97,0,0
35334,2014,1,12,5,4,10,8,14,12,-22,29,1035,-7,NW,37.99,0,0
35335,2014,1,12,6,4,15,9,8,12,-24,22,1036,-6,NW,39.78,0,0
35336,2014,1,12,7,4,14,17,13,17,-23,26,1037,-7,NW,42.91,0,0
35337,2014,1,12,8,4,12,27,25,33,-22,26,1038,-6,cv,0.89,0,0
35338,2014,1,12,9,4,19,22,21,22,-22,19,1039,-2,NW,1.79,0,0
35339,2014,1,12,10,4,13,20,21,20,-23,15,1039,0,NW,3.58,0,0
35340,2014,1,12,11,4,12,11,14,10,-26,11,1039,1,NE,1.79,0,0
35341,2014,1,12,12,4,10,10,13,14,-26,11,1038,1,cv,0.89,0,0
35342,2014,1,12,13,4,13,8,13,12,-27,9,1036,2,NW,4.02,0,0
35343,2014,1,12,14,4,9,9,6,12,-27,9,1036,2,NW,8.04,0,0
35344,2014,1,12,15,4,14,8,11,8,-27,8,1035,4,NW,12.06,0,0
35345,2014,1,12,16,4,24,9,14,19,-27,8,1035,3,NW,16.98,0,0
35346,2014,1,12,17,4,36,27,27,40,-27,9,1035,2,cv,3.13,0,0
35347,2014,1,12,18,4,38,28,32,37,-26,11,1035,1,SE,3.13,0,0
35348,2014,1,12,19,4,45,31,37,42,-25,13,1035,0,SE,7.15,0,0
35349,2014,1,12,20,4,55,45,55,56,-22,19,1035,-2,cv,0.45,0,0
35350,2014,1,12,21,4,63,54,64,62,-22,23,1035,-4,cv,1.34,0,0
35351,2014,1,12,22,4,59,46,56,57,-21,34,1035,-8,NW,3.13,0,0
35352,2014,1,12,23,4,66,48,55,57,-22,34,1035,-9,NE,0.89,0,0
35353,2014,1,13,0,4,74,53,60,75,-19,44,1034,-9,cv,0.89,0,0
35354,2014,1,13,1,4,89,67,60,96,-20,40,1034,-9,NW,1.79,0,0
35355,2014,1,13,2,4,97,100,78,110,-20,40,1034,-9,cv,0.89,0,0
35356,2014,1,13,3,4,101,103,99,97,-18,48,1034,-9,NW,1.79,0,0
35357,2014,1,13,4,4,90,104,98,105,-20,47,1033,-11,NW,3.58,0,0
35358,2014,1,13,5,4,75,103,102,84,-20,47,1033,-11,NW,5.37,0,0
35359,2014,1,13,6,4,57,96,84,106,-19,55,1033,-12,NE,0.89,0,0
35360,2014,1,13,7,4,60,99,87,112,-19,51,1033,-11,NW,1.79,0,0
35361,2014,1,13,8,4,80,112,95,120,-19,51,1033,-11,NE,0.89,0,0
35362,2014,1,13,9,4,80,107,115,117,-17,48,1034,-8,NE,2.68,0,0
35363,2014,1,13,10,4,106,102,109,118,-18,32,1033,-4,cv,0.89,0,0
35364,2014,1,13,11,4,106,99,91,106,-18,26,1033,-1,cv,1.78,0,0
35365,2014,1,13,12,4,74,88,82,96,-19,22,1031,0,cv,2.67,0,0
35366,2014,1,13,13,4,79,74,64,82,-23,14,1030,1,cv,3.56,0,0
35367,2014,1,13,14,4,81,45,50,63,-22,14,1029,2,cv,4.45,0,0
35368,2014,1,13,15,4,80,63,84,79,-23,12,1029,3,SE,1.79,0,0
35369,2014,1,13,16,4,121,104,113,125,-23,12,1029,3,cv,0.89,0,0
35370,2014,1,13,17,4,120,108,113,119,-22,17,1029,0,SE,0.89,0,0
35371,2014,1,13,18,4,131,100,116,115,-20,23,1030,-2,cv,0.89,0,0
35372,2014,1,13,19,4,163,139,134,131,-19,34,1030,-6,NE,1.79,0,0
35373,2014,1,13,20,4,169,169,157,177,-16,45,1031,-6,SE,1.79,0,0
35374,2014,1,13,21,4,183,253,245,287,-18,41,1031,-7,NE,1.79,0,0
35375,2014,1,13,22,4,212,291,286,299,-17,44,1032,-7,SE,0.89,0,0
35376,2014,1,13,23,4,210,268,296,250,-19,40,1032,-8,NE,1.79,0,0
35377,2014,1,14,0,4,153,202,176,159,-18,41,1033,-7,NW,1.79,0,0
35378,2014,1,14,1,4,99,175,159,124,-19,40,1033,-8,NW,3.58,0,0
35379,2014,1,14,2,4,96,110,116,123,-20,40,1033,-9,NW,6.71,0,0
35380,2014,1,14,3,4,49,61,67,49,-19,40,1034,-8,NW,11.63,0,0
35381,2014,1,14,4,4,35,38,28,36,-21,40,1034,-10,NW,15.65,0,0
35382,2014,1,14,5,4,32,69,52,59,-19,44,1034,-9,cv,0.89,0,0
