No,year,month,day,hour,season,PM_Caotangsi,PM_Shahepu,PM_US Post,DEWP,HUMI,PRES,TEMP,Iws,PM_avg
43877,2015,1,3,4,4,141,115,196,1,93.08,1023,2,2,150.6666667
43878,2015,1,3,5,4,133,120,193,1,93.08,1023,2,1,148.6666667
43879,2015,1,3,6,4,124,125,196,1,93.08,1022,2,0,148.3333333
43880,2015,1,3,7,4,118,130,191,2,93.13,1022,3,0,146.3333333
43881,2015,1,3,8,4,119,137,183,0,93.02,1022,1,0,146.3333333
43882,2015,1,3,9,4,134,127,169,2,93.13,1023,3,0,143.3333333
43883,2015,1,3,10,4,143,135,162,3,93.19,1023,4,0,146.6666667
43884,2015,1,3,11,4,147,132,170,4,93.24,1023,5,0,149.6666667
43885,2015,1,3,12,4,141,138,168,6,93.35,1021,7,0,149
43886,2015,1,3,13,4,160,152,170,4,75.84,1019,8,1,160.6666667
43887,2015,1,3,14,4,159,169,173,4,70.88,1018,9,1,167
43888,2015,1,3,15,4,169,149,188,3,66.05,1017,9,2,168.6666667
43889,2015,1,3,16,4,186,136,168,3,66.05,1016,9,3,163.3333333
43890,2015,1,3,17,4,163,130,167,3,66.05,1017,9,2,153.3333333
43891,2015,1,3,18,4,146,130,152,3,66.05,1017,9,4,142.6666667
43892,2015,1,3,19,4,137,135,154,2,61.51,1017,9,2,142
43893,2015,1,3,20,4,131,139,156,2,61.51,1018,9,4,142
43894,2015,1,3,21,4,134,138,158,2,65.82,1018,8,6,143.3333333
43895,2015,1,3,22,4,124,135,160,2,70.47,1018,7,1,139.6666667
43896,2015,1,3,23,4,112,131,157,2,75.49,1018,6,1,133.3333333
43897,2015,1,4,0,4,-999,-999,158,2,80.92,1018,5,1,158
43898,2015,1,4,1,4,-999,-999,160,2,86.79,1017,4,1,160
43899,2015,1,4,2,4,-999,-999,162,2,86.79,1017,4,1,162
43900,2015,1,4,3,4,-999,-999,174,2,86.79,1016,4,1,174
43901,2015,1,4,4,4,-999,-999,166,3,86.89,1015,5,1,166
43902,2015,1,4,5,4,-999,-999,173,4,93.24,1014,5,1,173
43903,2015,1,4,6,4,-999,-999,171,4,93.24,1014,5,1,171
43904,2015,1,4,7,4,-999,-999,178,4,86.99,1013,6,1,178
43905,2015,1,4,8,4,-999,-999,182,3,75.67,1014,7,1,182
43906,2015,1,4,9,4,-999,-999,191,4,86.99,1014,6,0,191
43907,2015,1,4,10,4,-999,-999,198,4,81.2,1014,7,0,198
43908,2015,1,4,11,4,178,186,202,3,75.67,1014,7,1,188.6666667
43909,2015,1,4,12,4,173,184,201,3,70.67,1013,8,1,186
43910,2015,1,4,13,4,168,163,195,3,70.67,1011,8,2,175.3333333
43911,2015,1,4,14,4,169,167,173,3,66.05,1010,9,3,169.6666667
43912,2015,1,4,15,4,153,164,155,2,61.51,1009,9,4,157.3333333
43913,2015,1,4,16,4,177,181,196,3,66.05,1009,9,5,184.6666667
43914,2015,1,4,17,4,166,178,232,2,61.51,1009,9,3,192
43915,2015,1,4,18,4,169,161,220,2,65.82,1009,8,2,183.3333333
43916,2015,1,4,19,4,166,193,233,3,70.67,1010,8,4,197.3333333
43917,2015,1,4,20,4,164,200,231,3,70.67,1011,8,6,198.3333333
43918,2015,1,4,21,4,164,191,230,4,81.2,1012,7,8,195
43919,2015,1,4,22,4,146,180,198,5,87.09,1013,7,10,174.6666667
43920,2015,1,4,23,4,126,151,161,5,87.09,1013,7,1,146
43921,2015,1,5,0,4,121,134,140,5,87.09,1014,7,2,131.6666667
43922,2015,1,5,1,4,105,137,153,5,87.09,1013,7,3,131.6666667
43923,2015,1,5,2,4,111,126,137,5,87.09,1013,7,2,124.6666667
43924,2015,1,5,3,4,125,122,145,5,87.09,1014,7,5,130.6666667
43925,2015,1,5,4,4,128,141,164,5,87.09,1013,7,7,144.3333333
43926,2015,1,5,5,4,103,121,135,5,87.09,1013,7,10,119.6666667
43927,2015,1,5,6,4,90,108,107,5,87.09,1014,7,12,101.6666667
43928,2015,1,5,7,4,84,113,97,6,93.35,1014,7,1,98
43929,2015,1,5,8,4,74,103,82,6,93.35,1015,7,2,86.33333333
43930,2015,1,5,9,4,69,108,82,6,87.19,1016,8,2,86.33333333
43931,2015,1,5,10,4,65,109,86,6,87.19,1017,8,1,86.66666667
43932,2015,1,5,11,4,60,88,115,6,81.48,1017,9,1,87.66666667
43933,2015,1,5,12,4,65,79,129,6,81.48,1017,9,1,91
43934,2015,1,5,13,4,79,104,130,6,76.18,1016,10,1,104.3333333
43935,2015,1,5,14,4,101,109,134,6,76.18,1015,10,2,114.6666667
43936,2015,1,5,15,4,110,116,148,6,76.18,1016,10,2,124.6666667
43937,2015,1,5,16,4,115,124,143,6,76.18,1016,10,1,127.3333333
43938,2015,1,5,17,4,139,138,164,6,76.18,1017,10,2,147
43939,2015,1,5,18,4,142,140,179,6,81.48,1018,9,2,153.6666667
43940,2015,1,5,19,4,154,145,189,6,87.19,1019,8,2,162.6666667
43941,2015,1,5,20,4,156,144,188,6,87.19,1020,8,2,162.6666667
43942,2015,1,5,21,4,163,152,212,6,87.19,1021,8,3,175.6666667
43943,2015,1,5,22,4,172,171,213,7,93.4,1021,8,3,185.3333333
43944,2015,1,5,23,4,188,182,197,6,87.19,1022,8,1,189
43945,2015,1,6,0,4,191,180,214,7,93.4,1022,8,3,195
43946,2015,1,6,1,4,114,147,109,7,93.4,1022,8,0,123.3333333
43947,2015,1,6,2,4,47,133,80,6,87.19,1023,8,0,86.66666667
43948,2015,1,6,3,4,37,89,81,6,87.19,1023,8,0,69
43949,2015,1,6,4,4,37,52,43,5,87.09,1023,7,0,44
43950,2015,1,6,5,4,32,43,30,5,87.09,1023,7,0,35
43951,2015,1,6,6,4,22,31,23,4,75.84,1023,8,0,25.33333333
43952,2015,1,6,7,4,14,13,17,1,61.26,1023,8,2,14.66666667
43953,2015,1,6,8,4,11,13,15,-1,52.98,1024,8,3,13
43954,2015,1,6,9,4,10,18,22,-2,49.22,1024,8,6,16.66666667
43955,2015,1,6,10,4,13,21,24,-1,49.51,1025,9,9,19.33333333
43956,2015,1,6,11,4,14,16,25,-1,49.51,1025,9,12,18.33333333
43957,2015,1,6,12,4,14,15,25,-1,49.51,1024,9,15,18
43958,2015,1,6,13,4,17,16,21,-1,49.51,1022,9,1,18
43959,2015,1,6,14,4,21,20,30,-1,46.29,1021,10,2,23.66666667
43960,2015,1,6,15,4,24,20,27,-1,46.29,1021,10,1,23.66666667
43961,2015,1,6,16,4,27,22,27,0,53.26,1021,9,2,25.33333333
43962,2015,1,6,17,4,32,28,35,0,53.26,1022,9,3,31.66666667
43963,2015,1,6,18,4,32,33,53,0,53.26,1022,9,4,39.33333333
43964,2015,1,6,19,4,38,30,52,0,53.26,1023,9,5,40
43965,2015,1,6,20,4,45,38,59,0,56.99,1024,8,6,47.33333333
43966,2015,1,6,21,4,42,46,59,1,61.26,1025,8,6,49
43967,2015,1,6,22,4,53,50,59,2,65.82,1025,8,6,54
43968,2015,1,6,23,4,56,57,65,2,70.47,1025,7,1,59.33333333
43969,2015,1,7,0,4,53,61,77,2,70.47,1025,7,0,63.66666667
43970,2015,1,7,1,4,59,65,73,3,75.67,1025,7,1,65.66666667
43971,2015,1,7,2,4,78,65,80,2,70.47,1025,7,0,74.33333333
43972,2015,1,7,3,4,84,67,105,3,81.06,1025,6,0,85.33333333
43973,2015,1,7,4,4,81,80,104,3,81.06,1026,6,0,88.33333333
43974,2015,1,7,5,4,83,67,71,3,81.06,1026,6,0,73.66666667
43975,2015,1,7,6,4,83,56,65,3,81.06,1026,6,0,68
43976,2015,1,7,7,4,76,55,75,3,75.67,1026,7,0,68.66666667
43977,2015,1,7,8,4,67,51,84,3,81.06,1027,6,0,67.33333333
43978,2015,1,7,9,4,68,70,83,2,65.82,1028,8,2,73.66666667
43979,2015,1,7,10,4,45,71,71,2,61.51,1029,9,4,62.33333333
43980,2015,1,7,11,4,39,71,67,2,57.51,1029,10,1,59
43981,2015,1,7,12,4,45,54,47,3,57.77,1028,11,2,48.66666667
43982,2015,1,7,13,4,46,54,60,3,57.77,1027,11,4,53.33333333
43983,2015,1,7,14,4,50,59,60,3,57.77,1026,11,2,56.33333333
43984,2015,1,7,15,4,53,60,74,3,54.08,1025,12,2,62.33333333
43985,2015,1,7,16,4,57,58,67,3,57.77,1026,11,3,60.66666667
43986,2015,1,7,17,4,55,57,64,3,57.77,1026,11,6,58.66666667
43987,2015,1,7,18,4,56,60,73,3,61.76,1027,10,9,63
43988,2015,1,7,19,4,59,72,80,3,61.76,1027,10,2,70.33333333
43989,2015,1,7,20,4,63,75,77,4,70.88,1028,9,1,71.66666667
43990,2015,1,7,21,4,64,68,71,4,70.88,1029,9,2,67.66666667
43991,2015,1,7,22,4,72,64,85,5,81.34,1029,8,2,73.66666667
43992,2015,1,7,23,4,63,58,80,5,81.34,1029,8,2,67
43993,2015,1,8,0,4,57,55,87,5,81.34,1030,8,2,66.33333333
43994,2015,1,8,1,4,70,66,78,6,93.35,1030,7,2,71.33333333
43995,2015,1,8,2,4,85,91,106,6,93.35,1030,7,1,94
43996,2015,1,8,3,4,88,106,113,6,87.19,1030,8,2,102.3333333
43997,2015,1,8,4,4,91,86,129,6,87.19,1030,8,1,102
43998,2015,1,8,5,4,92,76,105,6,93.35,1030,7,1,91
43999,2015,1,8,6,4,76,72,98,5,87.09,1030,7,1,82
44000,2015,1,8,7,4,65,63,88,6,93.35,1031,7,2,72
44001,2015,1,8,8,4,75,55,83,5,87.09,1032,7,3,71
44002,2015,1,8,9,4,78,43,75,6,93.35,1033,7,0,65.33333333
44003,2015,1,8,10,4,77,42,80,6,93.35,1033,7,1,66.33333333
44004,2015,1,8,11,4,82,59,85,6,93.35,1034,7,0,75.33333333
44005,2015,1,8,12,4,82,67,93,7,93.4,1033,8,1,80.66666667
44006,2015,1,8,13,4,63,61,84,7,87.28,1031,9,2,69.33333333
44007,2015,1,8,14,4,45,64,61,6,81.48,1030,9,2,56.66666667
44008,2015,1,8,15,4,37,49,68,5,71.07,1030,10,1,51.33333333
44009,2015,1,8,16,4,49,66,71,5,71.07,1030,10,2,62
44010,2015,1,8,17,4,53,44,75,6,76.18,1030,10,5,57.33333333
44011,2015,1,8,18,4,93,48,111,5,76.01,1030,9,7,84
44012,2015,1,8,19,4,89,67,134,5,76.01,1030,9,9,96.66666667
44013,2015,1,8,20,4,84,73,120,5,81.34,1031,8,11,92.33333333
44014,2015,1,8,21,4,83,72,111,5,81.34,1031,8,1,88.66666667
44015,2015,1,8,22,4,82,64,107,6,87.19,1031,8,2,84.33333333
44016,2015,1,8,23,4,72,56,106,6,87.19,1031,8,1,78
44017,2015,1,9,0,4,70,54,101,5,87.09,1031,7,1,75
44018,2015,1,9,1,4,74,56,109,6,93.35,1031,7,2,79.66666667
44019,2015,1,9,2,4,82,61,110,5,87.09,1031,7,2,84.33333333
44020,2015,1,9,3,4,85,62,110,5,87.09,1031,7,2,85.66666667
44021,2015,1,9,4,4,81,70,114,5,87.09,1031,7,2,88.33333333
44022,2015,1,9,5,4,79,68,101,4,86.99,1030,6,2,82.66666667
44023,2015,1,9,6,4,83,69,111,4,93.24,1030,5,3,87.66666667
44024,2015,1,9,7,4,84,67,117,4,86.99,1031,6,4,89.33333333
44025,2015,1,9,8,4,79,66,120,4,93.24,1031,5,4,88.33333333
44026,2015,1,9,9,4,74,68,112,4,93.24,1032,5,4,84.66666667
44027,2015,1,9,10,4,76,86,122,5,93.29,1032,6,5,94.66666667
44028,2015,1,9,11,4,86,82,127,6,93.35,1032,7,6,98.33333333
44029,2015,1,9,12,4,91,84,115,5,71.07,1031,10,7,96.66666667
44030,2015,1,9,13,4,88,79,115,5,66.49,1029,11,7,94
44031,2015,1,9,14,4,81,79,104,3,57.77,1028,11,8,88
44032,2015,1,9,15,4,80,58,64,3,57.77,1028,11,2,67.33333333
44033,2015,1,9,16,4,56,85,85,1,50.08,1028,11,5,75.33333333
44034,2015,1,9,17,4,74,93,102,2,50.36,1029,12,1,89.66666667
44035,2015,1,9,18,4,83,99,104,4,66.27,1029,10,2,95.33333333
44036,2015,1,9,19,4,91,95,108,4,70.88,1029,9,3,98
44037,2015,1,9,20,4,89,90,101,5,76.01,1030,9,2,93.33333333
44038,2015,1,9,21,4,82,95,99,4,75.84,1029,8,4,92
44039,2015,1,9,22,4,80,92,104,4,81.2,1030,7,0,92
44040,2015,1,9,23,4,71,78,105,4,81.2,1029,7,1,84.66666667
44041,2015,1,10,0,4,65,70,77,4,86.99,1030,6,2,70.66666667
44042,2015,1,10,1,4,60,70,79,3,86.89,1029,5,2,69.66666667
44043,2015,1,10,2,4,54,72,88,3,86.89,1029,5,2,71.33333333
44044,2015,1,10,3,4,51,74,94,2,93.13,1029,3,2,73
44045,2015,1,10,4,4,49,67,95,1,93.08,1029,2,1,70.33333333
44046,2015,1,10,5,4,50,65,91,2,93.13,1028,3,0,68.66666667
44047,2015,1,10,6,4,66,57,94,1,93.08,1029,2,1,72.33333333
44048,2015,1,10,7,4,68,53,93,2,93.13,1029,3,0,71.33333333
44049,2015,1,10,8,4,61,53,90,4,93.24,1029,5,0,68
44050,2015,1,10,9,4,61,57,86,5,87.09,1029,7,1,68
44051,2015,1,10,10,4,65,77,90,5,87.09,1030,7,2,77.33333333
44052,2015,1,10,11,4,64,75,102,5,81.34,1030,8,3,80.33333333
44053,2015,1,10,12,4,69,79,99,5,76.01,1030,9,4,82.33333333
44054,2015,1,10,13,4,77,86,98,4,66.27,1028,10,2,87
44055,2015,1,10,14,4,79,86,101,5,66.49,1027,11,2,88.66666667
44056,2015,1,10,15,4,79,88,97,4,62,1026,11,1,88
44057,2015,1,10,16,4,82,90,111,4,66.27,1026,10,1,94.33333333
44058,2015,1,10,17,4,86,83,112,4,66.27,1026,10,2,93.66666667
44059,2015,1,10,18,4,85,87,115,4,66.27,1027,10,3,95.66666667
44060,2015,1,10,19,4,90,92,110,4,70.88,1027,9,4,97.33333333
44061,2015,1,10,20,4,109,97,103,4,70.88,1028,9,5,103
44062,2015,1,10,21,4,120,88,110,4,75.84,1028,8,1,106
44063,2015,1,10,22,4,123,96,105,4,75.84,1028,8,0,108
44064,2015,1,10,23,4,120,132,109,4,75.84,1028,8,0,120.3333333
44065,2015,1,11,0,4,132,137,130,4,70.88,1028,9,1,133
44066,2015,1,11,1,4,139,145,161,4,75.84,1028,8,1,148.3333333
44067,2015,1,11,2,4,130,151,176,4,75.84,1027,8,1,152.3333333
44068,2015,1,11,3,4,120,146,181,5,81.34,1028,8,1,149
44069,2015,1,11,4,4,109,144,181,5,81.34,1027,8,1,144.6666667
44070,2015,1,11,5,4,104,132,167,5,87.09,1027,7,1,134.3333333
44071,2015,1,11,6,4,99,125,155,5,87.09,1027,7,2,126.3333333
44072,2015,1,11,7,4,94,125,150,5,87.09,1028,7,3,123
44073,2015,1,11,8,4,98,119,146,5,87.09,1028,7,4,121
44074,2015,1,11,9,4,105,128,145,5,87.09,1029,7,0,126
44075,2015,1,11,10,4,118,133,151,6,87.19,1030,8,1,134
44076,2015,1,11,11,4,122,122,143,5,76.01,1030,9,2,129
44077,2015,1,11,12,4,114,114,148,5,71.07,1029,10,2,125.3333333
44078,2015,1,11,13,4,126,108,132,5,71.07,1027,10,1,122
44079,2015,1,11,14,4,128,113,123,4,66.27,1026,10,2,121.3333333
44080,2015,1,11,15,4,126,114,142,5,66.49,1026,11,0,127.3333333
44081,2015,1,11,16,4,121,117,135,5,66.49,1026,11,1,124.3333333
44082,2015,1,11,17,4,120,104,147,5,66.49,1026,11,1,123.6666667
44083,2015,1,11,18,4,122,108,142,5,66.49,1027,11,1,124
44084,2015,1,11,19,4,114,99,113,5,71.07,1028,10,3,108.6666667
44085,2015,1,11,20,4,92,91,117,4,70.88,1028,9,4,100
44086,2015,1,11,21,4,98,86,124,4,75.84,1029,8,5,102.6666667
44087,2015,1,11,22,4,97,86,101,5,81.34,1029,8,1,94.66666667
44088,2015,1,11,23,4,87,86,81,4,86.99,1029,6,1,84.66666667
44089,2015,1,12,0,4,76,83,101,4,86.99,1028,6,2,86.66666667
44090,2015,1,12,1,4,80,75,110,3,86.89,1028,5,2,88.33333333
44091,2015,1,12,2,4,78,71,104,2,86.79,1028,4,2,84.33333333
44092,2015,1,12,3,4,77,66,103,2,93.13,1028,3,2,82
44093,2015,1,12,4,4,71,63,109,1,86.68,1028,3,1,81
44094,2015,1,12,5,4,65,65,116,1,93.08,1027,2,0,82
44095,2015,1,12,6,4,60,65,112,1,86.68,1028,3,0,79
44096,2015,1,12,7,4,60,55,99,0,93.02,1028,1,1,71.33333333
44097,2015,1,12,8,4,62,51,95,1,86.68,1029,3,2,69.33333333
44098,2015,1,12,9,4,64,50,95,2,93.13,1030,3,0,69.66666667
44099,2015,1,12,10,4,64,55,104,3,86.89,1030,5,0,74.33333333
44100,2015,1,12,11,4,75,66,115,5,93.29,1030,6,2,85.33333333
44101,2015,1,12,12,4,79,75,123,6,93.35,1029,7,4,92.33333333
44102,2015,1,12,13,4,93,76,97,7,93.4,1028,8,6,88.66666667
44103,2015,1,12,14,4,99,78,91,6,76.18,1026,10,1,89.33333333
44104,2015,1,12,15,4,113,82,98,5,66.49,1026,11,2,97.66666667
44105,2015,1,12,16,4,125,99,105,4,62,1025,11,1,109.6666667
44106,2015,1,12,17,4,175,113,133,3,57.77,1026,11,1,140.3333333
44107,2015,1,12,18,4,167,121,174,3,61.76,1026,10,2,154
44108,2015,1,12,19,4,161,141,190,3,66.05,1026,9,3,164
44109,2015,1,12,20,4,156,153,215,4,70.88,1027,9,1,174.6666667
44110,2015,1,12,21,4,166,153,233,5,76.01,1027,9,2,184
44111,2015,1,12,22,4,191,155,217,4,70.88,1027,9,2,187.6666667
44112,2015,1,12,23,4,186,146,177,3,81.06,1027,6,1,169.6666667
44113,2015,1,13,0,4,163,133,170,3,86.89,1027,5,2,155.3333333
44114,2015,1,13,1,4,147,125,183,3,86.89,1026,5,0,151.6666667
44115,2015,1,13,2,4,152,125,172,4,93.24,1026,5,0,149.6666667
44116,2015,1,13,3,4,151,138,182,4,86.99,1026,6,0,157
44117,2015,1,13,4,4,153,144,177,4,86.99,1025,6,0,158
44118,2015,1,13,5,4,176,161,182,5,93.29,1025,6,0,173
44119,2015,1,13,6,4,176,170,188,5,93.29,1025,6,1,178
44120,2015,1,13,7,4,178,177,206,5,93.29,1025,6,0,187
44121,2015,1,13,8,4,166,172,217,5,87.09,1025,7,1,185
44122,2015,1,13,9,4,169,176,226,5,87.09,1025,7,2,190.3333333
44123,2015,1,13,10,4,170,175,229,6,87.19,1026,8,3,191.3333333
44124,2015,1,13,11,4,164,184,211,6,87.19,1026,8,0,186.3333333
44125,2015,1,13,12,4,162,200,220,6,87.19,1025,8,1,194
44126,2015,1,13,13,4,168,214,216,6,87.19,1024,8,1,199.3333333
44127,2015,1,13,14,4,187,229,222,6,87.19,1022,8,1,212.6666667
44128,2015,1,13,15,4,215,212,218,6,87.19,1022,8,1,215
44129,2015,1,13,16,4,195,217,213,6,81.48,1022,9,1,208.3333333
44130,2015,1,13,17,4,182,211,213,6,81.48,1022,9,1,202
44131,2015,1,13,18,4,211,202,235,5,76.01,1023,9,1,216
44132,2015,1,13,19,4,238,208,262,6,81.48,1023,9,1,236
44133,2015,1,13,20,4,212,217,288,5,76.01,1024,9,1,239
44134,2015,1,13,21,4,181,218,246,5,81.34,1025,8,1,215
44135,2015,1,13,22,4,153,197,197,5,81.34,1025,8,2,182.3333333
44136,2015,1,13,23,4,139,196,170,5,81.34,1026,8,1,168.3333333
44137,2015,1,14,0,4,152,177,153,5,81.34,1026,8,1,160.6666667
44138,2015,1,14,1,4,138,164,154,5,81.34,1025,8,2,152
44139,2015,1,14,2,4,130,158,156,5,87.09,1025,7,3,148
44140,2015,1,14,3,4,136,152,155,4,81.2,1025,7,4,147.6666667
44141,2015,1,14,4,4,136,150,161,4,81.2,1025,7,0,149
44142,2015,1,14,5,4,138,154,164,4,81.2,1025,7,0,152
44143,2015,1,14,6,4,141,141,180,5,87.09,1025,7,0,154
44144,2015,1,14,7,4,155,148,185,5,87.09,1026,7,0,162.6666667
44145,2015,1,14,8,4,163,158,215,5,87.09,1027,7,0,178.6666667
44146,2015,1,14,9,4,155,169,216,6,93.35,1027,7,0,180
44147,2015,1,14,10,4,143,186,200,6,87.19,1028,8,0,176.3333333
44148,2015,1,14,11,4,128,190,175,6,87.19,1028,8,0,164.3333333
44149,2015,1,14,12,4,139,178,180,5,76.01,1028,9,1,165.6666667
44150,2015,1,14,13,4,152,171,230,5,71.07,1026,10,2,184.3333333
44151,2015,1,14,14,4,147,176,240,5,71.07,1025,10,2,187.6666667
44152,2015,1,14,15,4,153,179,251,5,71.07,1024,10,3,194.3333333
44153,2015,1,14,16,4,153,208,239,5,71.07,1024,10,1,200
44154,2015,1,14,17,4,179,229,243,6,76.18,1024,10,2,217
44155,2015,1,14,18,4,187,222,262,6,76.18,1024,10,3,223.6666667
44156,2015,1,14,19,4,188,215,261,6,81.48,1024,9,1,221.3333333
44157,2015,1,14,20,4,217,218,262,6,87.19,1025,8,1,232.3333333
44158,2015,1,14,21,4,222,226,262,5,87.09,1025,7,2,236.6666667
44159,2015,1,14,22,4,210,233,265,6,87.19,1025,8,0,236
44160,2015,1,14,23,4,199,223,262,6,87.19,1025,8,0,228
44161,2015,1,15,0,4,195,211,254,6,87.19,1025,8,0,220
44162,2015,1,15,1,4,195,219,251,6,87.19,1024,8,0,221.6666667
44163,2015,1,15,2,4,192,222,249,6,87.19,1023,8,0,221
44164,2015,1,15,3,4,192,218,254,6,93.35,1023,7,0,221.3333333
44165,2015,1,15,4,4,182,216,261,6,93.35,1023,7,0,219.6666667
44166,2015,1,15,5,4,179,211,257,5,87.09,1022,7,0,215.6666667
44167,2015,1,15,6,4,189,212,257,6,93.35,1022,7,0,219.3333333
44168,2015,1,15,7,4,205,208,263,6,93.35,1022,7,0,225.3333333
44169,2015,1,15,8,4,220,224,274,6,93.35,1023,7,0,239.3333333
44170,2015,1,15,9,4,229,246,274,6,87.19,1024,8,1,249.6666667
44171,2015,1,15,10,4,249,271,335,7,93.4,1025,8,2,285
44172,2015,1,15,11,4,275,295,349,7,87.28,1026,9,1,306.3333333
44173,2015,1,15,12,4,233,300,326,6,81.48,1026,9,2,286.3333333
44174,2015,1,15,13,4,235,291,294,6,81.48,1025,9,1,273.3333333
44175,2015,1,15,14,4,223,271,269,6,81.48,1024,9,2,254.3333333
44176,2015,1,15,15,4,203,252,253,5,76.01,1023,9,2,236
44177,2015,1,15,16,4,176,229,212,5,76.01,1023,9,4,205.6666667
44178,2015,1,15,17,4,168,205,188,5,76.01,1024,9,0,187
44179,2015,1,15,18,4,159,174,186,5,76.01,1024,9,0,173
44180,2015,1,15,19,4,152,153,184,5,76.01,1025,9,1,163
44181,2015,1,15,20,4,150,153,174,5,76.01,1026,9,2,159
44182,2015,1,15,21,4,144,145,189,4,70.88,1027,9,3,159.3333333
44183,2015,1,15,22,4,159,143,189,5,76.01,1027,9,4,163.6666667
44184,2015,1,15,23,4,163,147,200,5,81.34,1028,8,2,170
44185,2015,1,16,0,4,133,151,172,5,81.34,1028,8,1,152
44186,2015,1,16,1,4,144,177,167,5,87.09,1028,7,2,162.6666667
44187,2015,1,16,2,4,141,172,153,5,87.09,1027,7,2,155.3333333
44188,2015,1,16,3,4,125,156,143,5,87.09,1027,7,2,141.3333333
44189,2015,1,16,4,4,115,145,130,5,93.29,1027,6,2,130
44190,2015,1,16,5,4,108,136,137,5,93.29,1026,6,2,127
44191,2015,1,16,6,4,104,123,146,5,93.29,1026,6,2,124.3333333
